division_name,ayear,grade,total_count,pass_count,pass_rate,pass_proficient_count,pass_proficient_rate,pass_advanced_count,pass_advanced_rate,min_grade,years_from_start,cohort,race,average,black,division_use
Charlottesville City,2013,8,110,97,88.18,68,61.82,29,26.36,3,5,2007,White,65.74,40.66,charlottesville_city
Fluvanna County,2008,3,266,214,80.45,121,45.49,93,34.96,3,0,2007,All,80.45,60.47,fluvanna_county
Fluvanna County,2009,4,262,233,88.93,129,49.24,104,39.69,3,1,2007,All,88.93,75.61,fluvanna_county
Fluvanna County,2010,5,272,237,87.13,138,50.74,99,36.4,3,2,2007,All,87.13,66.67,fluvanna_county
Fluvanna County,2011,6,263,217,82.51,118,44.87,99,37.64,3,3,2007,All,82.51,71.79,fluvanna_county
Fluvanna County,2012,7,271,235,86.72,146,53.87,89,32.84,3,4,2007,All,86.72,78.05,fluvanna_county
Fluvanna County,2013,8,272,211,77.57,151,55.51,60,22.06,3,5,2007,All,77.57,67.57,fluvanna_county
Fluvanna County,2008,3,43,26,60.47,21,48.84,5,11.63,3,0,2007,Black,80.45,60.47,fluvanna_county
Fluvanna County,2009,4,41,31,75.61,24,58.54,7,17.07,3,1,2007,Black,88.93,75.61,fluvanna_county
Fluvanna County,2010,5,51,34,66.67,23,45.1,11,21.57,3,2,2007,Black,87.13,66.67,fluvanna_county
Fluvanna County,2011,6,39,28,71.79,20,51.28,8,20.51,3,3,2007,Black,82.51,71.79,fluvanna_county
Fluvanna County,2012,7,41,32,78.05,24,58.54,8,19.51,3,4,2007,Black,86.72,78.05,fluvanna_county
Fluvanna County,2013,8,37,25,67.57,20,54.05,5,13.51,3,5,2007,Black,77.57,67.57,fluvanna_county
Fluvanna County,2008,3,206,174,84.47,90,43.69,84,40.78,3,0,2007,White,80.45,60.47,fluvanna_county
Fluvanna County,2009,4,201,185,92.04,97,48.26,88,43.78,3,1,2007,White,88.93,75.61,fluvanna_county
Fluvanna County,2010,5,205,190,92.68,107,52.2,83,40.49,3,2,2007,White,87.13,66.67,fluvanna_county
Fluvanna County,2011,6,189,161,85.19,82,43.39,79,41.8,3,3,2007,White,82.51,71.79,fluvanna_county
Fluvanna County,2012,7,193,171,88.6,103,53.37,68,35.23,3,4,2007,White,86.72,78.05,fluvanna_county
Fluvanna County,2013,8,199,157,78.89,111,55.78,46,23.12,3,5,2007,White,77.57,67.57,fluvanna_county
Greene County,2008,3,225,185,82.22,101,44.89,84,37.33,3,0,2007,All,82.22,84.21,greene_county
Greene County,2009,4,231,186,80.52,102,44.16,84,36.36,3,1,2007,All,80.52,80,greene_county
Greene County,2010,5,238,205,86.13,128,53.78,77,32.35,3,2,2007,All,86.13,80,greene_county
Greene County,2011,6,232,194,83.62,110,47.41,84,36.21,3,3,2007,All,83.62,71.43,greene_county
Greene County,2012,7,229,201,87.77,117,51.09,84,36.68,3,4,2007,All,87.77,56.25,greene_county
Greene County,2013,8,237,169,71.31,151,63.71,18,7.59,3,5,2007,All,71.31,57.89,greene_county
Greene County,2008,3,19,16,84.21,14,73.68,2,10.53,3,0,2007,Black,82.22,84.21,greene_county
Greene County,2009,4,20,16,80,9,45,7,35,3,1,2007,Black,80.52,80,greene_county
Greene County,2010,5,20,16,80,13,65,3,15,3,2,2007,Black,86.13,80,greene_county
Greene County,2011,6,14,10,71.43,7,50,3,21.43,3,3,2007,Black,83.62,71.43,greene_county
Greene County,2012,7,16,9,56.25,7,43.75,2,12.5,3,4,2007,Black,87.77,56.25,greene_county
Greene County,2013,8,19,11,57.89,10,52.63,1,5.26,3,5,2007,Black,71.31,57.89,greene_county
Greene County,2008,3,189,156,82.54,77,40.74,79,41.8,3,0,2007,White,82.22,84.21,greene_county
Greene County,2009,4,192,157,81.77,83,43.23,74,38.54,3,1,2007,White,80.52,80,greene_county
Greene County,2010,5,195,171,87.69,102,52.31,69,35.38,3,2,2007,White,86.13,80,greene_county
Greene County,2011,6,183,153,83.61,82,44.81,71,38.8,3,3,2007,White,83.62,71.43,greene_county
Greene County,2012,7,183,163,89.07,90,49.18,73,39.89,3,4,2007,White,87.77,56.25,greene_county
Greene County,2013,8,185,132,71.35,119,64.32,13,7.03,3,5,2007,White,71.31,57.89,greene_county
Nelson County,2008,3,153,119,77.78,70,45.75,49,32.03,3,0,2007,All,77.78,45.45,nelson_county
Nelson County,2009,4,140,122,87.14,68,48.57,54,38.57,3,1,2007,All,87.14,61.9,nelson_county
Nelson County,2010,5,137,126,91.97,75,54.74,51,37.23,3,2,2007,All,91.97,88.24,nelson_county
Nelson County,2011,6,142,125,88.03,64,45.07,61,42.96,3,3,2007,All,88.03,83.33,nelson_county
Nelson County,2012,7,148,131,88.51,75,50.68,56,37.84,3,4,2007,All,88.51,94.44,nelson_county
Nelson County,2013,8,152,105,69.08,92,60.53,13,8.55,3,5,2007,All,69.08,NA,nelson_county
Nelson County,2008,3,22,10,45.45,8,36.36,2,9.09,3,0,2007,Black,77.78,45.45,nelson_county
Nelson County,2009,4,21,13,61.9,12,57.14,1,4.76,3,1,2007,Black,87.14,61.9,nelson_county
Nelson County,2010,5,17,15,88.24,14,82.35,1,5.88,3,2,2007,Black,91.97,88.24,nelson_county
Nelson County,2011,6,18,15,83.33,15,83.33,0,0,3,3,2007,Black,88.03,83.33,nelson_county
Nelson County,2012,7,18,17,94.44,17,94.44,0,0,3,4,2007,Black,88.51,94.44,nelson_county
Nelson County,2013,8,18,NA,NA,NA,NA,NA,NA,3,5,2007,Black,69.08,NA,nelson_county
Nelson County,2008,3,121,100,82.64,57,47.11,43,35.54,3,0,2007,White,77.78,45.45,nelson_county
Nelson County,2009,4,110,100,90.91,50,45.45,50,45.45,3,1,2007,White,87.14,61.9,nelson_county
Nelson County,2010,5,113,105,92.92,57,50.44,48,42.48,3,2,2007,White,91.97,88.24,nelson_county
Nelson County,2011,6,109,97,88.99,41,37.61,56,51.38,3,3,2007,White,88.03,83.33,nelson_county
Nelson County,2012,7,118,104,88.14,54,45.76,50,42.37,3,4,2007,White,88.51,94.44,nelson_county
Nelson County,2013,8,116,84,72.41,71,61.21,13,11.21,3,5,2007,White,69.08,NA,nelson_county
Orange County,2008,3,395,272,68.86,151,38.23,121,30.63,3,0,2007,All,68.86,52.56,orange_county
Orange County,2009,4,407,344,84.52,184,45.21,160,39.31,3,1,2007,All,84.52,64.2,orange_county
Orange County,2010,5,395,347,87.85,214,54.18,133,33.67,3,2,2007,All,87.85,74.07,orange_county
Orange County,2011,6,401,352,87.78,199,49.63,153,38.15,3,3,2007,All,87.78,75.76,orange_county
Orange County,2012,7,417,370,88.73,228,54.68,142,34.05,3,4,2007,All,88.73,79.49,orange_county
Orange County,2013,8,413,292,70.7,253,61.26,39,9.44,3,5,2007,All,70.7,54.67,orange_county
Orange County,2008,3,78,41,52.56,31,39.74,10,12.82,3,0,2007,Black,68.86,52.56,orange_county
Orange County,2009,4,81,52,64.2,35,43.21,17,20.99,3,1,2007,Black,84.52,64.2,orange_county
Orange County,2010,5,81,60,74.07,44,54.32,16,19.75,3,2,2007,Black,87.85,74.07,orange_county
Orange County,2011,6,66,50,75.76,33,50,17,25.76,3,3,2007,Black,87.78,75.76,orange_county
Orange County,2012,7,78,62,79.49,47,60.26,15,19.23,3,4,2007,Black,88.73,79.49,orange_county
Orange County,2013,8,75,41,54.67,39,52,2,2.67,3,5,2007,Black,70.7,54.67,orange_county
Orange County,2008,3,293,214,73.04,111,37.88,103,35.15,3,0,2007,White,68.86,52.56,orange_county
Orange County,2009,4,304,272,89.47,139,45.72,133,43.75,3,1,2007,White,84.52,64.2,orange_county
Orange County,2010,5,294,267,90.82,156,53.06,111,37.76,3,2,2007,White,87.85,74.07,orange_county
Orange County,2011,6,292,267,91.44,145,49.66,122,41.78,3,3,2007,White,87.78,75.76,orange_county
Orange County,2012,7,295,268,90.85,152,51.53,116,39.32,3,4,2007,White,88.73,79.49,orange_county
Orange County,2013,8,295,223,75.59,191,64.75,32,10.85,3,5,2007,White,70.7,54.67,orange_county
Albemarle County,2009,3,954,866,90.78,426,44.65,440,46.12,3,0,2008,All,90.78,78.69,albemarle_county
Albemarle County,2010,4,980,908,92.65,334,34.08,574,58.57,3,1,2008,All,92.65,83.33,albemarle_county
Albemarle County,2011,5,975,900,92.31,410,42.05,490,50.26,3,2,2008,All,92.31,86.36,albemarle_county
Albemarle County,2012,6,978,908,92.84,360,36.81,548,56.03,3,3,2008,All,92.84,81.9,albemarle_county
Albemarle County,2013,7,975,784,80.41,583,59.79,201,20.62,3,4,2008,All,80.41,52.83,albemarle_county
Albemarle County,2014,8,985,771,78.27,640,64.97,131,13.3,3,5,2008,All,78.27,50,albemarle_county
Albemarle County,2009,3,122,96,78.69,72,59.02,24,19.67,3,0,2008,Black,90.78,78.69,albemarle_county
Albemarle County,2010,4,126,105,83.33,69,54.76,36,28.57,3,1,2008,Black,92.65,83.33,albemarle_county
Albemarle County,2011,5,110,95,86.36,67,60.91,28,25.45,3,2,2008,Black,92.31,86.36,albemarle_county
Albemarle County,2012,6,105,86,81.9,60,57.14,26,24.76,3,3,2008,Black,92.84,81.9,albemarle_county
Albemarle County,2013,7,106,56,52.83,55,51.89,1,0.94,3,4,2008,Black,80.41,52.83,albemarle_county
Albemarle County,2014,8,116,58,50,57,49.14,1,0.86,3,5,2008,Black,78.27,50,albemarle_county
Albemarle County,2009,3,727,678,93.26,308,42.37,370,50.89,3,0,2008,White,90.78,78.69,albemarle_county
Albemarle County,2010,4,733,696,94.95,221,30.15,475,64.8,3,1,2008,White,92.65,83.33,albemarle_county
Albemarle County,2011,5,697,656,94.12,264,37.88,392,56.24,3,2,2008,White,92.31,86.36,albemarle_county
Albemarle County,2012,6,702,672,95.73,228,32.48,444,63.25,3,3,2008,White,92.84,81.9,albemarle_county
Albemarle County,2013,7,698,603,86.39,430,61.6,173,24.79,3,4,2008,White,80.41,52.83,albemarle_county
Albemarle County,2014,8,696,593,85.2,483,69.4,110,15.8,3,5,2008,White,78.27,50,albemarle_county
Charlottesville City,2009,3,270,236,87.41,118,43.7,118,43.7,3,0,2008,All,87.41,75,charlottesville_city
Charlottesville City,2010,4,265,214,80.75,98,36.98,116,43.77,3,1,2008,All,80.75,68.42,charlottesville_city
Charlottesville City,2011,5,249,188,75.5,93,37.35,95,38.15,3,2,2008,All,75.5,55.14,charlottesville_city
Charlottesville City,2012,6,249,203,81.53,98,39.36,105,42.17,3,3,2008,All,81.53,69.23,charlottesville_city
Charlottesville City,2013,7,236,155,65.68,117,49.58,38,16.1,3,4,2008,All,65.68,46.6,charlottesville_city
Charlottesville City,2014,8,224,149,66.52,123,54.91,26,11.61,3,5,2008,All,66.52,43.75,charlottesville_city
Charlottesville City,2009,3,108,81,75,55,50.93,26,24.07,3,0,2008,Black,87.41,75,charlottesville_city
Charlottesville City,2010,4,114,78,68.42,60,52.63,18,15.79,3,1,2008,Black,80.75,68.42,charlottesville_city
Charlottesville City,2011,5,107,59,55.14,49,45.79,10,9.35,3,2,2008,Black,75.5,55.14,charlottesville_city
Charlottesville City,2012,6,104,72,69.23,57,54.81,15,14.42,3,3,2008,Black,81.53,69.23,charlottesville_city
Charlottesville City,2013,7,103,48,46.6,45,43.69,3,2.91,3,4,2008,Black,65.68,46.6,charlottesville_city
Charlottesville City,2014,8,96,42,43.75,40,41.67,2,2.08,3,5,2008,Black,66.52,43.75,charlottesville_city
Charlottesville City,2009,3,122,118,96.72,39,31.97,79,64.75,3,0,2008,White,87.41,75,charlottesville_city
Charlottesville City,2010,4,116,109,93.97,23,19.83,86,74.14,3,1,2008,White,80.75,68.42,charlottesville_city
Charlottesville City,2011,5,108,101,93.52,27,25,74,68.52,3,2,2008,White,75.5,55.14,charlottesville_city
Charlottesville City,2012,6,103,98,95.15,20,19.42,78,75.73,3,3,2008,White,81.53,69.23,charlottesville_city
Charlottesville City,2013,7,85,78,91.76,50,58.82,28,32.94,3,4,2008,White,65.68,46.6,charlottesville_city
Charlottesville City,2014,8,83,76,91.57,56,67.47,20,24.1,3,5,2008,White,66.52,43.75,charlottesville_city
Fluvanna County,2009,3,257,210,81.71,133,51.75,77,29.96,3,0,2008,All,81.71,71.11,fluvanna_county
Fluvanna County,2010,4,263,208,79.09,96,36.5,112,42.59,3,1,2008,All,79.09,60.42,fluvanna_county
Fluvanna County,2011,5,267,216,80.9,126,47.19,90,33.71,3,2,2008,All,80.9,57.5,fluvanna_county
Fluvanna County,2012,6,271,224,82.66,115,42.44,109,40.22,3,3,2008,All,82.66,60,fluvanna_county
Fluvanna County,2013,7,265,191,72.08,155,58.49,36,13.58,3,4,2008,All,72.08,41.46,fluvanna_county
Fluvanna County,2014,8,290,192,66.21,174,60,18,6.21,3,5,2008,All,66.21,41.46,fluvanna_county
Fluvanna County,2009,3,45,32,71.11,19,42.22,13,28.89,3,0,2008,Black,81.71,71.11,fluvanna_county
Fluvanna County,2010,4,48,29,60.42,16,33.33,13,27.08,3,1,2008,Black,79.09,60.42,fluvanna_county
Fluvanna County,2011,5,40,23,57.5,15,37.5,8,20,3,2,2008,Black,80.9,57.5,fluvanna_county
Fluvanna County,2012,6,45,27,60,20,44.44,7,15.56,3,3,2008,Black,82.66,60,fluvanna_county
Fluvanna County,2013,7,41,17,41.46,15,36.59,2,4.88,3,4,2008,Black,72.08,41.46,fluvanna_county
Fluvanna County,2014,8,41,17,41.46,17,41.46,0,0,3,5,2008,Black,66.21,41.46,fluvanna_county
Fluvanna County,2009,3,200,167,83.5,107,53.5,60,30,3,0,2008,White,81.71,71.11,fluvanna_county
Fluvanna County,2010,4,206,171,83.01,77,37.38,94,45.63,3,1,2008,White,79.09,60.42,fluvanna_county
Fluvanna County,2011,5,210,179,85.24,101,48.1,78,37.14,3,2,2008,White,80.9,57.5,fluvanna_county
Fluvanna County,2012,6,210,183,87.14,87,41.43,96,45.71,3,3,2008,White,82.66,60,fluvanna_county
Fluvanna County,2013,7,205,157,76.59,127,61.95,30,14.63,3,4,2008,White,72.08,41.46,fluvanna_county
Fluvanna County,2014,8,227,161,70.93,144,63.44,17,7.49,3,5,2008,White,66.21,41.46,fluvanna_county
Greene County,2009,3,236,184,77.97,124,52.54,60,25.42,3,0,2008,All,77.97,67.65,greene_county
Greene County,2010,4,227,185,81.5,102,44.93,83,36.56,3,1,2008,All,81.5,76.47,greene_county
Greene County,2011,5,239,199,83.26,116,48.54,83,34.73,3,2,2008,All,83.26,76,greene_county
Greene County,2012,6,230,202,87.83,123,53.48,79,34.35,3,3,2008,All,87.83,88.24,greene_county
Greene County,2013,7,225,152,67.56,131,58.22,21,9.33,3,4,2008,All,67.56,66.67,greene_county
Greene County,2014,8,232,136,58.62,124,53.45,12,5.17,3,5,2008,All,58.62,54.55,greene_county
Greene County,2009,3,34,23,67.65,21,61.76,2,5.88,3,0,2008,Black,77.97,67.65,greene_county
Greene County,2010,4,34,26,76.47,19,55.88,7,20.59,3,1,2008,Black,81.5,76.47,greene_county
Greene County,2011,5,25,19,76,12,48,7,28,3,2,2008,Black,83.26,76,greene_county
Greene County,2012,6,17,15,88.24,9,52.94,6,35.29,3,3,2008,Black,87.83,88.24,greene_county
Greene County,2013,7,21,14,66.67,12,57.14,2,9.52,3,4,2008,Black,67.56,66.67,greene_county
Greene County,2014,8,22,12,54.55,11,50,1,4.55,3,5,2008,Black,58.62,54.55,greene_county
Greene County,2009,3,179,145,81.01,91,50.84,54,30.17,3,0,2008,White,77.97,67.65,greene_county
Greene County,2010,4,173,143,82.66,73,42.2,70,40.46,3,1,2008,White,81.5,76.47,greene_county
Greene County,2011,5,175,148,84.57,78,44.57,70,40,3,2,2008,White,83.26,76,greene_county
Greene County,2012,6,114,99,86.84,58,50.88,41,35.96,3,3,2008,White,87.83,88.24,greene_county
Greene County,2013,7,167,116,69.46,99,59.28,17,10.18,3,4,2008,White,67.56,66.67,greene_county
Greene County,2014,8,168,104,61.9,96,57.14,8,4.76,3,5,2008,White,58.62,54.55,greene_county
Nelson County,2009,3,140,120,85.71,77,55,43,30.71,3,0,2008,All,85.71,78.26,nelson_county
Nelson County,2010,4,140,122,87.14,59,42.14,63,45,3,1,2008,All,87.14,75,nelson_county
Nelson County,2011,5,148,127,85.81,74,50,53,35.81,3,2,2008,All,85.81,84.21,nelson_county
Nelson County,2012,6,148,130,87.84,62,41.89,68,45.95,3,3,2008,All,87.84,83.33,nelson_county
Nelson County,2013,7,147,114,77.55,93,63.27,21,14.29,3,4,2008,All,77.55,65,nelson_county
Nelson County,2014,8,144,108,75,97,67.36,11,7.64,3,5,2008,All,75,66.67,nelson_county
Nelson County,2009,3,23,18,78.26,15,65.22,3,13.04,3,0,2008,Black,85.71,78.26,nelson_county
Nelson County,2010,4,24,18,75,13,54.17,5,20.83,3,1,2008,Black,87.14,75,nelson_county
Nelson County,2011,5,19,16,84.21,13,68.42,3,15.79,3,2,2008,Black,85.81,84.21,nelson_county
Nelson County,2012,6,18,15,83.33,13,72.22,2,11.11,3,3,2008,Black,87.84,83.33,nelson_county
Nelson County,2013,7,20,13,65,12,60,1,5,3,4,2008,Black,77.55,65,nelson_county
Nelson County,2014,8,21,14,66.67,14,66.67,0,0,3,5,2008,Black,75,66.67,nelson_county
Nelson County,2009,3,108,93,86.11,56,51.85,37,34.26,3,0,2008,White,85.71,78.26,nelson_county
Nelson County,2010,4,105,94,89.52,41,39.05,53,50.48,3,1,2008,White,87.14,75,nelson_county
Nelson County,2011,5,108,91,84.26,51,47.22,40,37.04,3,2,2008,White,85.81,84.21,nelson_county
Nelson County,2012,6,108,94,87.04,40,37.04,54,50,3,3,2008,White,87.84,83.33,nelson_county
Nelson County,2013,7,110,85,77.27,66,60,19,17.27,3,4,2008,White,77.55,65,nelson_county
Nelson County,2014,8,107,80,74.77,70,65.42,10,9.35,3,5,2008,White,75,66.67,nelson_county
Orange County,2009,3,368,286,77.72,183,49.73,103,27.99,3,0,2008,All,77.72,66.67,orange_county
Orange County,2010,4,364,313,85.99,130,35.71,183,50.27,3,1,2008,All,85.99,77.78,orange_county
Orange County,2011,5,363,333,91.74,186,51.24,147,40.5,3,2,2008,All,91.74,84.85,orange_county
Orange County,2012,6,374,317,84.76,172,45.99,145,38.77,3,3,2008,All,84.76,76.39,orange_county
Orange County,2013,7,371,264,71.16,215,57.95,49,13.21,3,4,2008,All,71.16,46.38,orange_county
Orange County,2014,8,367,252,68.66,231,62.94,21,5.72,3,5,2008,All,68.66,47.06,orange_county
Orange County,2009,3,72,48,66.67,38,52.78,10,13.89,3,0,2008,Black,77.72,66.67,orange_county
Orange County,2010,4,72,56,77.78,33,45.83,23,31.94,3,1,2008,Black,85.99,77.78,orange_county
Orange County,2011,5,66,56,84.85,42,63.64,14,21.21,3,2,2008,Black,91.74,84.85,orange_county
Orange County,2012,6,72,55,76.39,34,47.22,21,29.17,3,3,2008,Black,84.76,76.39,orange_county
Orange County,2013,7,69,32,46.38,28,40.58,4,5.8,3,4,2008,Black,71.16,46.38,orange_county
Orange County,2014,8,68,32,47.06,31,45.59,1,1.47,3,5,2008,Black,68.66,47.06,orange_county
Orange County,2009,3,270,215,79.63,130,48.15,85,31.48,3,0,2008,White,77.72,66.67,orange_county
Orange County,2010,4,269,235,87.36,88,32.71,147,54.65,3,1,2008,White,85.99,77.78,orange_county
Orange County,2011,5,257,239,93,123,47.86,116,45.14,3,2,2008,White,91.74,84.85,orange_county
Orange County,2012,6,265,228,86.04,124,46.79,104,39.25,3,3,2008,White,84.76,76.39,orange_county
Orange County,2013,7,262,200,76.34,159,60.69,41,15.65,3,4,2008,White,71.16,46.38,orange_county
Orange County,2014,8,262,193,73.66,177,67.56,16,6.11,3,5,2008,White,68.66,47.06,orange_county
Albemarle County,2010,3,941,821,87.25,369,39.21,452,48.03,3,0,2009,All,87.25,66.67,albemarle_county
Albemarle County,2011,4,962,852,88.57,397,41.27,455,47.3,3,1,2009,All,88.57,65.14,albemarle_county
Albemarle County,2012,5,941,820,87.14,482,51.22,338,35.92,3,2,2009,All,87.14,63.21,albemarle_county
Albemarle County,2013,6,925,748,80.86,509,55.03,239,25.84,3,3,2009,All,80.86,58.76,albemarle_county
Albemarle County,2014,7,943,752,79.75,534,56.63,218,23.12,3,4,2009,All,79.75,48.45,albemarle_county
Albemarle County,2015,8,948,769,81.12,629,66.35,140,14.77,3,5,2009,All,81.12,49.5,albemarle_county
Albemarle County,2010,3,126,84,66.67,60,47.62,24,19.05,3,0,2009,Black,87.25,66.67,albemarle_county
Albemarle County,2011,4,109,71,65.14,55,50.46,16,14.68,3,1,2009,Black,88.57,65.14,albemarle_county
Albemarle County,2012,5,106,67,63.21,56,52.83,11,10.38,3,2,2009,Black,87.14,63.21,albemarle_county
Albemarle County,2013,6,97,57,58.76,50,51.55,7,7.22,3,3,2009,Black,80.86,58.76,albemarle_county
Albemarle County,2014,7,97,47,48.45,43,44.33,4,4.12,3,4,2009,Black,79.75,48.45,albemarle_county
Albemarle County,2015,8,101,50,49.5,49,48.51,1,0.99,3,5,2009,Black,81.12,49.5,albemarle_county
Albemarle County,2010,3,694,636,91.64,266,38.33,370,53.31,3,0,2009,White,87.25,66.67,albemarle_county
Albemarle County,2011,4,685,634,92.55,267,38.98,367,53.58,3,1,2009,White,88.57,65.14,albemarle_county
Albemarle County,2012,5,675,616,91.26,339,50.22,277,41.04,3,2,2009,White,87.14,63.21,albemarle_county
Albemarle County,2013,6,667,573,85.91,378,56.67,195,29.24,3,3,2009,White,80.86,58.76,albemarle_county
Albemarle County,2014,7,678,580,85.55,408,60.18,172,25.37,3,4,2009,White,79.75,48.45,albemarle_county
Albemarle County,2015,8,677,592,87.44,479,70.75,113,16.69,3,5,2009,White,81.12,49.5,albemarle_county
Charlottesville City,2010,3,263,223,84.79,112,42.59,111,42.21,3,0,2009,All,84.79,74.53,charlottesville_city
Charlottesville City,2011,4,264,236,89.39,132,50,104,39.39,3,1,2009,All,89.39,76.47,charlottesville_city
Charlottesville City,2012,5,251,215,85.66,133,52.99,82,32.67,3,2,2009,All,85.66,74.04,charlottesville_city
Charlottesville City,2013,6,242,165,68.18,101,41.74,64,26.45,3,3,2009,All,68.18,45.74,charlottesville_city
Charlottesville City,2014,7,242,179,73.97,131,54.13,48,19.83,3,4,2009,All,73.97,53.54,charlottesville_city
Charlottesville City,2015,8,227,168,74.01,137,60.35,31,13.66,3,5,2009,All,74.01,55.1,charlottesville_city
Charlottesville City,2010,3,106,79,74.53,59,55.66,20,18.87,3,0,2009,Black,84.79,74.53,charlottesville_city
Charlottesville City,2011,4,102,78,76.47,58,56.86,20,19.61,3,1,2009,Black,89.39,76.47,charlottesville_city
Charlottesville City,2012,5,104,77,74.04,64,61.54,13,12.5,3,2,2009,Black,85.66,74.04,charlottesville_city
Charlottesville City,2013,6,94,43,45.74,36,38.3,7,7.45,3,3,2009,Black,68.18,45.74,charlottesville_city
Charlottesville City,2014,7,99,53,53.54,49,49.49,4,4.04,3,4,2009,Black,73.97,53.54,charlottesville_city
Charlottesville City,2015,8,98,54,55.1,51,52.04,3,3.06,3,5,2009,Black,74.01,55.1,charlottesville_city
Charlottesville City,2010,3,112,104,92.86,27,24.11,77,68.75,3,0,2009,White,84.79,74.53,charlottesville_city
Charlottesville City,2011,4,117,115,98.29,44,37.61,71,60.68,3,1,2009,White,89.39,76.47,charlottesville_city
Charlottesville City,2012,5,105,101,96.19,43,40.95,58,55.24,3,2,2009,White,85.66,74.04,charlottesville_city
Charlottesville City,2013,6,106,96,90.57,47,44.34,49,46.23,3,3,2009,White,68.18,45.74,charlottesville_city
Charlottesville City,2014,7,100,93,93,54,54,39,39,3,4,2009,White,73.97,53.54,charlottesville_city
Charlottesville City,2015,8,88,83,94.32,57,64.77,26,29.55,3,5,2009,White,74.01,55.1,charlottesville_city
Fluvanna County,2010,3,272,195,71.69,114,41.91,81,29.78,3,0,2009,All,71.69,50,fluvanna_county
Fluvanna County,2011,4,273,225,82.42,155,56.78,70,25.64,3,1,2009,All,82.42,73.33,fluvanna_county
Fluvanna County,2012,5,269,229,85.13,131,48.7,98,36.43,3,2,2009,All,85.13,70.83,fluvanna_county
Fluvanna County,2013,6,251,179,71.31,138,54.98,41,16.33,3,3,2009,All,71.31,48.84,fluvanna_county
Fluvanna County,2014,7,254,179,70.47,143,56.3,36,14.17,3,4,2009,All,70.47,43.18,fluvanna_county
Fluvanna County,2015,8,256,183,71.48,165,64.45,18,7.03,3,5,2009,All,71.48,43.9,fluvanna_county
Fluvanna County,2010,3,48,24,50,21,43.75,3,6.25,3,0,2009,Black,71.69,50,fluvanna_county
Fluvanna County,2011,4,45,33,73.33,29,64.44,4,8.89,3,1,2009,Black,82.42,73.33,fluvanna_county
Fluvanna County,2012,5,48,34,70.83,28,58.33,6,12.5,3,2,2009,Black,85.13,70.83,fluvanna_county
Fluvanna County,2013,6,43,21,48.84,20,46.51,1,2.33,3,3,2009,Black,71.31,48.84,fluvanna_county
Fluvanna County,2014,7,44,19,43.18,17,38.64,2,4.55,3,4,2009,Black,70.47,43.18,fluvanna_county
Fluvanna County,2015,8,41,18,43.9,18,43.9,0,0,3,5,2009,Black,71.48,43.9,fluvanna_county
Fluvanna County,2010,3,214,168,78.5,90,42.06,78,36.45,3,0,2009,White,71.69,50,fluvanna_county
Fluvanna County,2011,4,212,178,83.96,117,55.19,61,28.77,3,1,2009,White,82.42,73.33,fluvanna_county
Fluvanna County,2012,5,201,180,89.55,96,47.76,84,41.79,3,2,2009,White,85.13,70.83,fluvanna_county
Fluvanna County,2013,6,188,145,77.13,109,57.98,36,19.15,3,3,2009,White,71.31,48.84,fluvanna_county
Fluvanna County,2014,7,186,145,77.96,113,60.75,32,17.2,3,4,2009,White,70.47,43.18,fluvanna_county
Fluvanna County,2015,8,190,148,77.89,131,68.95,17,8.95,3,5,2009,White,71.48,43.9,fluvanna_county
Greene County,2010,3,215,152,70.7,87,40.47,65,30.23,3,0,2009,All,70.7,68,greene_county
Greene County,2011,4,215,176,81.86,118,54.88,58,26.98,3,1,2009,All,81.86,73.91,greene_county
Greene County,2012,5,212,167,78.77,121,57.08,46,21.7,3,2,2009,All,78.77,58.33,greene_county
Greene County,2013,6,218,142,65.14,122,55.96,20,9.17,3,3,2009,All,65.14,50,greene_county
Greene County,2014,7,218,155,71.1,139,63.76,16,7.34,3,4,2009,All,71.1,56.52,greene_county
Greene County,2015,8,235,169,71.91,151,64.26,18,7.66,3,5,2009,All,71.91,62.5,greene_county
Greene County,2010,3,25,17,68,9,36,8,32,3,0,2009,Black,70.7,68,greene_county
Greene County,2011,4,23,17,73.91,12,52.17,5,21.74,3,1,2009,Black,81.86,73.91,greene_county
Greene County,2012,5,24,14,58.33,9,37.5,5,20.83,3,2,2009,Black,78.77,58.33,greene_county
Greene County,2013,6,24,12,50,11,45.83,1,4.17,3,3,2009,Black,65.14,50,greene_county
Greene County,2014,7,23,13,56.52,12,52.17,1,4.35,3,4,2009,Black,71.1,56.52,greene_county
Greene County,2015,8,24,15,62.5,13,54.17,2,8.33,3,5,2009,Black,71.91,62.5,greene_county
Greene County,2010,3,174,125,71.84,72,41.38,53,30.46,3,0,2009,White,70.7,68,greene_county
Greene County,2011,4,164,139,84.76,90,54.88,49,29.88,3,1,2009,White,81.86,73.91,greene_county
Greene County,2012,5,159,133,83.65,96,60.38,37,23.27,3,2,2009,White,78.77,58.33,greene_county
Greene County,2013,6,166,113,68.07,97,58.43,16,9.64,3,3,2009,White,65.14,50,greene_county
Greene County,2014,7,166,123,74.1,109,65.66,14,8.43,3,4,2009,White,71.1,56.52,greene_county
Greene County,2015,8,182,132,72.53,118,64.84,14,7.69,3,5,2009,White,71.91,62.5,greene_county
Nelson County,2010,3,147,126,85.71,92,62.59,34,23.13,3,0,2009,All,85.71,64,nelson_county
