School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Total Count,Pass Rate
2006-2007,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,271,81.92
2006-2007,39,Greene County,English:Reading,Grade 3,SOL,English Reading,206,72.82
2006-2007,39,Greene County,English:Reading,Grade 4,SOL,English Reading,210,84.76
2006-2007,39,Greene County,English:Reading,Grade 5,SOL,English Reading,208,82.21
2006-2007,39,Greene County,English:Reading,Grade 6,SOL,English Reading,191,85.34
2006-2007,39,Greene County,English:Reading,Grade 7,SOL,English Reading,218,78.44
2006-2007,39,Greene County,English:Reading,Grade 8,SOL,English Reading,191,74.35
2006-2007,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,336,75.89
2006-2007,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,322,85.4
2006-2007,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,293,84.3
2006-2007,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,335,83.58
2006-2007,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,379,72.82
2006-2007,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,370,70.27
2006-2007,62,Nelson County,English:Reading,Grade 3,SOL,English Reading,163,76.69
2006-2007,62,Nelson County,English:Reading,Grade 4,SOL,English Reading,138,89.13
2006-2007,62,Nelson County,English:Reading,Grade 5,SOL,English Reading,151,92.72
2006-2007,62,Nelson County,English:Reading,Grade 6,SOL,English Reading,150,83.33
2006-2007,62,Nelson County,English:Reading,Grade 7,SOL,English Reading,150,84.67
2006-2007,62,Nelson County,English:Reading,Grade 8,SOL,English Reading,121,90.08
2007-2008,2,Albemarle County,English:Reading,Grade 3,SOL,English Reading,876,87.56
2007-2008,2,Albemarle County,English:Reading,Grade 4,SOL,English Reading,912,91.34
2007-2008,2,Albemarle County,English:Reading,Grade 5,SOL,English Reading,824,92.48
2007-2008,2,Albemarle County,English:Reading,Grade 6,SOL,English Reading,856,90.54
2007-2008,2,Albemarle County,English:Reading,Grade 7,SOL,English Reading,880,91.59
2007-2008,2,Albemarle County,English:Reading,Grade 8,SOL,English Reading,917,87.68
2007-2008,104,Charlottesville City,English:Reading,Grade 3,SOL,English Reading,297,85.86
2007-2008,104,Charlottesville City,English:Reading,Grade 4,SOL,English Reading,242,91.32
2007-2008,104,Charlottesville City,English:Reading,Grade 5,SOL,English Reading,245,77.96
2007-2008,104,Charlottesville City,English:Reading,Grade 6,SOL,English Reading,248,82.66
2007-2008,104,Charlottesville City,English:Reading,Grade 7,SOL,English Reading,237,80.59
2007-2008,104,Charlottesville City,English:Reading,Grade 8,SOL,English Reading,272,65.07
2007-2008,32,Fluvanna County,English:Reading,Grade 3,SOL,English Reading,266,80.45
2007-2008,32,Fluvanna County,English:Reading,Grade 4,SOL,English Reading,273,80.95
2007-2008,32,Fluvanna County,English:Reading,Grade 5,SOL,English Reading,275,85.82
2007-2008,32,Fluvanna County,English:Reading,Grade 6,SOL,English Reading,238,91.18
2007-2008,32,Fluvanna County,English:Reading,Grade 7,SOL,English Reading,279,87.46
2007-2008,32,Fluvanna County,English:Reading,Grade 8,SOL,English Reading,269,88.85
2007-2008,39,Greene County,English:Reading,Grade 3,SOL,English Reading,225,82.22
2007-2008,39,Greene County,English:Reading,Grade 4,SOL,English Reading,195,87.18
2007-2008,39,Greene County,English:Reading,Grade 5,SOL,English Reading,208,88.94
2007-2008,39,Greene County,English:Reading,Grade 6,SOL,English Reading,205,77.07
2007-2008,39,Greene County,English:Reading,Grade 7,SOL,English Reading,190,78.95
2007-2008,39,Greene County,English:Reading,Grade 8,SOL,English Reading,208,84.13
2007-2008,54,Louisa County,English:Reading,Grade 3,SOL,English Reading,265,86.79
2007-2008,54,Louisa County,English:Reading,Grade 4,SOL,English Reading,333,88.29
2007-2008,54,Louisa County,English:Reading,Grade 5,SOL,English Reading,315,92.7
2007-2008,54,Louisa County,English:Reading,Grade 6,SOL,English Reading,293,83.62
2007-2008,54,Louisa County,English:Reading,Grade 7,SOL,English Reading,330,87.27
2007-2008,54,Louisa County,English:Reading,Grade 8,SOL,English Reading,377,78.51
