"School Year","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2012-2013","English:Reading","Grade 4","SOL","English Reading","15,609","47,634","27,164","63,243","90,407","17.27","52.69","30.05","69.95","434"
"2012-2013","English:Reading","Grade 5","SOL","English Reading","16,956","49,304","24,256","66,260","90,516","18.73","54.47","26.80","73.20","437"
"2012-2013","English:Reading","Grade 6","SOL","English Reading","17,800","49,365","24,180","67,165","91,345","19.49","54.04","26.47","73.53","438"
"2012-2013","English:Reading","Grade 7","SOL","English Reading","15,226","53,233","23,211","68,459","91,670","16.61","58.07","25.32","74.68","437"
"2012-2013","English:Reading","Grade 8","SOL","English Reading","10,246","54,263","26,549","64,509","91,058","11.25","59.59","29.16","70.84","429"
"2013-2014","English:Reading","Grade 3","SOL","English Reading","13,408","48,621","28,456","62,029","90,485","14.82","53.73","31.45","68.55","432"
"2013-2014","English:Reading","Grade 4","SOL","English Reading","16,077","48,073","27,339","64,150","91,489","17.57","52.55","29.88","70.12","436"
"2013-2014","English:Reading","Grade 5","SOL","English Reading","18,093","47,991","23,980","66,084","90,064","20.09","53.29","26.63","73.37","442"
"2013-2014","English:Reading","Grade 6","SOL","English Reading","13,398","52,951","24,503","66,349","90,852","14.75","58.28","26.97","73.03","436"
"2013-2014","English:Reading","Grade 7","SOL","English Reading","15,201","54,093","22,067","69,294","91,361","16.64","59.21","24.15","75.85","441"
"2013-2014","English:Reading","Grade 8","SOL","English Reading","9,840","55,194","27,063","65,034","92,097","10.68","59.93","29.39","70.61","430"
"2014-2015","English:Reading","Grade 3","SOL","English Reading","17,716","51,526","23,186","69,242","92,428","19.17","55.75","25.09","74.91","440"
"2014-2015","English:Reading","Grade 4","SOL","English Reading","18,117","52,844","21,194","70,961","92,155","19.66","57.34","23.00","77.00","441"
"2014-2015","English:Reading","Grade 5","SOL","English Reading","21,381","51,733","19,766","73,114","92,880","23.02","55.70","21.28","78.72","447"
