year,group,Black,White,Diff,region
2006,Fredericksburg City___2006,0.7061595042090324,0.9136774544967858,0.20751795028775344,0
2006,Galax City___2006,0.7639764207636551,0.9091380701682411,0.14516164940458598,0
2006,Giles County___2006,0.7228952200439791,0.8590065398336942,0.13611131978971514,0
2006,Gloucester County___2006,0.7985539017349413,0.9085999779550239,0.11004607622008256,0
2006,Goochland County___2006,0.8519728534722488,0.9585959192453195,0.10662306577307068,0
2006,Grayson County___2006,0.6922911031907723,0.8125545576266795,0.12026345443590725,0
2006,Greene County___2006,0.6772500764249795,0.8499314210457414,0.1726813446207619,1
2006,Greensville County___2006,0.7074477397403462,0.8807731628762665,0.17332542313592025,0
2006,Halifax County___2006,0.7368689929116143,0.8927546605488702,0.15588566763725586,0
2006,Hampton City___2006,0.7700143051093844,0.9121896345234649,0.1421753294140805,0
2006,Hanover County___2006,0.7626960226050271,0.9236669718180733,0.16097094921304622,0
2006,Harrisonburg City___2006,0.7680326912476633,0.9051463846917163,0.137113693444053,0
2006,Henrico County___2006,0.7717268609457211,0.9364925103686988,0.16476564942297778,0
2006,Henry County___2006,0.751526910806267,0.8771810589687525,0.12565414816248555,0
2006,Highland County___2006,0.7328445785865613,0.8724257154199012,0.13958113683333995,0
2006,Hopewell City___2006,0.7822291590316066,0.8983493888538328,0.11612022982222614,0
2006,Isle of Wight County___2006,0.7759787172973837,0.9275885363407104,0.1516098190433267,0
2006,King and Queen County___2006,0.7761839943035204,0.8173491120692769,0.04116511776575649,0
2006,King George County___2006,0.6548064710794615,0.8725025335956026,0.21769606251614104,0
2006,King William County___2006,0.7291412397493464,0.8613421498410709,0.13220091009172452,0
2006,Lancaster County___2006,0.733061035858406,0.9091904552974063,0.1761294194390003,0
2006,Lee County___2006,0.7461301018640627,0.889061339459194,0.14293123759513127,0
2006,Lexington City___2006,0.7834663431894779,0.9281938443398605,0.14472750115038258,0
2006,Loudoun County___2006,0.7640487367413059,0.9398276802120892,0.17577894347078327,0
2006,Louisa County___2006,0.7220444750415933,0.8625237928666288,0.14047931782503553,1
2006,Lunenburg County___2006,0.7317461786847067,0.8726142915772253,0.14086811289251855,0
2006,Lynchburg City___2006,0.7629456043959634,0.9395314141420508,0.1765858097460874,0
2006,Madison County___2006,0.7000994314412842,0.8711410928730523,0.17104166143176813,0
2006,Manassas City___2006,0.7452563243495128,0.9196756657910974,0.17441934144158455,0
2006,Manassas Park City___2006,0.7837362550880094,0.9148475258384952,0.1311112707504858,0
2006,Martinsville City___2006,0.6859227804787391,0.9225686683686961,0.236645887889957,0
2006,Mathews County___2006,0.7563594617759797,0.9008831387335258,0.1445236769575461,0
